h L1order L2order Linforder 
0.2 4.942868038068862 4.941540408755668 4.873154035145992 
0.1 4.965905845599396 4.965659152815024 4.925922910943144 
0.06666666666666667 4.975568107022384 4.975528722340055 4.947325659801759 
0.05 4.980934031042384 4.980958952267405 4.959061985674448 
0.04 4.9843581514224935 4.984406595230265 4.9664891316392445 
0.03333333333333333 -77.12815164364007 -87.0239959307484 -94.72834496025642 
0.02857142857142857 -3.1316272298532426 -1.8503828549224057 -0.3168246178295134 
0.025 -1.7315510085359551 -1.4381744432882206 -2.5726997557500373 
0.022222222222222223 -0.5417838499367555 -0.4353267042773629 -0.5156673933089261 
0.02 -0.31663942532240974 -0.5830709236402093 -1.2226719290997856 
0.01 -0.12893507116730746 -0.558369188745832 -1.1258142436089797 
